,PromptTokens,DecodeTokens,UserID,ArrivalTime
18836,3351,209,141855,111
18837,8422,167,142590,112
18838,2092,179,44709,112
18839,2204,172,36849,113
18840,7838,205,87312,113
18841,9494,161,11255,114
18842,2333,178,47943,114
18843,1417,230,11252,115
18844,2057,163,37351,115
18845,2856,102,11254,117
18846,2438,240,11456,117
18847,2108,168,37348,118
18848,2912,181,136873,119
18849,5096,194,11258,120
18850,4906,183,142591,120
18851,3950,155,11259,121
18852,2525,194,142329,122
18853,718,259,8925,122
18854,2566,504,11233,123
18855,2069,174,7789,125
18856,9440,218,142592,127
18857,2039,280,37371,127
18858,3601,202,142593,128
18859,2394,246,37352,128
18860,6445,194,142594,129
18861,545,67,142595,130
18862,7938,249,142596,130
18863,4715,349,11246,130
18864,1480,244,11238,130
18865,1899,169,37389,130
18866,2088,320,11235,130
18867,12139,254,11257,131
18868,2041,202,71068,132
18869,2058,205,548,133
18870,2997,467,11214,133
18871,2990,280,79725,134
18872,3061,187,11260,136
18873,3899,240,11242,137
18874,9750,232,142597,137
18875,6965,196,142598,137
18876,5592,172,729,137
18877,4509,259,142599,137
18878,5989,245,142600,138
18879,2370,142,138265,139
18880,2049,346,142580,140
18881,3106,305,70891,140
18882,4040,382,11256,142
18883,2750,277,729,143
18884,4368,378,10013,144
18885,3229,234,11262,145
18886,2251,149,2302,146
18887,3904,601,142578,146
18888,1803,194,142601,148
18889,1609,353,37348,148
18890,568,58,25717,148
18891,5535,212,11271,149
18892,483,46,37344,151
18893,5766,185,142602,151
18894,1771,164,11267,153
18895,2308,176,37397,153
18896,6416,189,141206,154
18897,2092,178,37353,154
18898,3192,206,11264,154
18899,417,34,37344,158
18900,1785,175,142603,158
18901,6905,107,142483,160
18902,2102,217,11536,160
18903,2503,321,11266,161
18904,28044,259,142604,162
18905,1030,147,11265,163
18906,2051,202,37357,163
18907,1036,178,11276,164
18908,4545,212,11268,164
18909,1224,65,11272,165
18910,1354,149,11269,167
18911,16263,195,139857,167
18912,756,159,11270,170
18913,2548,188,11280,171
18914,2268,163,142605,171
18915,1248,146,11273,172
18916,9776,252,142606,173
18917,5432,373,11218,176
18918,10200,212,142607,176
18919,582,120,142608,177
18920,2215,178,44682,177
18921,1045,219,141307,179
18922,483,46,11548,179
18923,1588,253,9081,180
10434,79559,765,2032,1
10435,38096,688,43580,2
10436,3524,3,44148,2
10437,10440,28,44190,3
10438,5435,51,44182,4
10439,3514,22,44186,5
10440,24123,22,44148,6
10441,3509,3,42118,6
10442,10497,141,44190,7
10443,3513,3,44191,8
10444,3514,22,44192,8
10445,6023,98,44186,9
10446,2185,48,44193,9
10447,5492,221,44182,9
10448,3520,3,44194,9
10449,3516,22,44195,11
10450,16589,25,44191,12
10451,7969,80,44194,12
10452,5620,182,44192,12
10453,42784,9,42118,13
10454,43956,568,44185,13
10455,2242,204,44193,14
10456,3520,3,44189,14
10457,4263,3,44196,17
10458,3517,22,44183,18
10459,17932,33,44196,20
10460,6524,127,44189,23
10461,14820,249,44183,28
10462,3518,22,44132,31
10463,5967,38,44197,33
10464,5445,34,44198,34
10465,6024,201,44197,36
10466,5502,174,44198,36
10467,3651,44,44199,38
10468,3708,167,44199,41
10469,2082,53,43982,41
10470,11890,52,44200,42
10471,3525,3,44175,42
10472,2139,162,43982,43
10473,11947,176,44200,44
10474,1443,28,44157,46
10475,3521,3,2032,53
10476,49689,487,44132,56
10477,3519,22,44201,57
10478,3206,19,44202,58
10479,3523,3,44148,59
10480,3517,3,7544,60
10481,6200,53,7544,62
10482,3508,3,44203,62
10483,4269,22,44196,63
10484,9012,10,44203,64
10485,3511,3,44183,64
10486,3518,3,44204,66
10487,3515,3,44205,66
10488,24008,74,44148,66
10489,3513,3,44206,67
10490,3520,3,6133,69
10491,6100,212,44204,71
10492,2034,45,44199,73
10493,2091,154,44199,75
10494,3574,2,44030,75
10495,70493,37,44196,76
10496,15914,390,44201,77
10497,6023,79,44030,77
10498,39532,164,44205,77
10499,18275,35,44198,77
10500,3512,3,44207,77
10501,46927,28,44175,78
10502,28111,26,6133,78
10503,3511,3,44208,79
10504,40571,188,44183,80
10505,18332,206,44198,81
10506,79473,286,2032,82
10507,3518,3,44175,84
10508,22562,17,44208,84
10509,5663,114,44207,85
10510,3517,3,44204,93
10511,13516,520,44206,94
10512,3530,2,44180,94
10513,3511,3,44209,94
10514,2715,33,44210,95
10515,3517,3,44211,97
10516,2772,132,44210,97
10517,6615,116,44204,97
10518,47171,39,44175,100
10519,12272,57,44211,101
10520,3521,22,44132,102
10521,3519,3,44212,103
10522,12822,269,44209,103
10523,14017,591,44213,104
10524,1713,51,44214,106
10525,7713,348,44180,107
10526,43367,223,41356,108
10527,1770,152,44214,108
10528,3535,3,2032,108
10529,9852,225,44212,109
10530,3512,22,44198,113
10531,3515,3,44215,114
10532,3511,3,44207,116
10533,3511,3,44175,116
10534,3516,3,44148,116
10535,3517,2,44209,121
10536,6595,169,44207,122
10537,23650,75,44148,123
10538,3515,22,44198,124
10539,3521,22,44211,126
10540,13384,137,44209,127
10541,79714,126,2032,129
10542,32013,231,44132,130
10543,20098,222,44215,131
10544,46168,23,44211,134
10545,3514,3,44207,138
10546,24873,377,44198,139
10547,3516,3,44216,142
10548,7092,54,44207,142
10549,3522,3,44217,142
10550,4269,22,44196,144
10551,12524,14,44196,146
10552,3512,3,44211,146
10553,3521,3,42040,147
10554,3513,2,43535,147
10555,12713,44,44211,150
10556,5855,72,43535,152
10557,2224,47,44218,154
10558,6812,523,44217,154
10559,3525,3,44219,155
10560,2281,144,44218,155
10561,38225,23,42040,156
10562,37321,113,44216,156
10563,7011,15,44219,157
10564,3509,3,44198,159
10565,2425,50,44220,164
10566,2482,147,44220,166
10567,3517,3,44221,166
10568,23295,232,44198,169
10569,3515,3,44222,169
10570,6278,16,44222,172
10571,3519,3,44209,172
10572,5475,192,44221,173
10573,3515,3,44223,177
10574,46833,280,44175,178
10575,3541,2,2032,178
10576,8999,51,44223,180
100145,7179,67,6103,0
100146,151,1,6103,0
100147,1335,53,6103,0
100148,1395,74,6103,0
100149,176,1,6103,0
100150,1082,128,6103,0
100151,1161,82,6103,1
100152,1293,51,6103,1
100153,1469,58,6103,1
100154,1391,90,6103,2
100155,499,27,6103,2
100156,512,22,6103,2
100157,643,44,6103,2
100158,1477,94,6103,2
100159,742,48,6103,2
100160,151,1,6103,2
100161,1226,39,6103,2
100162,143,1,6103,2
100163,121,1,6103,2
100164,544,53,6103,3
100165,1563,152,6103,3
100166,108,1,6103,3
100167,109,1,6103,3
100168,126,1,6103,3
100169,576,60,6103,3
100170,1301,3,6103,4
100171,1253,134,6103,4
100172,153,1,6103,4
100173,757,57,6103,4
100174,2087,84,6103,4
100175,108,1,6103,4
100176,999,131,6103,4
100177,1970,66,6103,5
100178,629,41,6103,5
100179,1652,90,6103,5
100180,582,22,6103,5
100181,1526,118,6103,5
100182,516,41,6103,6
100183,1053,113,6103,6
100184,1485,53,6103,6
100185,1043,111,6103,6
100186,126,1,6103,6
100187,120,1,6103,7
100188,120,1,6103,7
100189,745,62,6103,7
100190,1981,201,6103,7
100191,716,77,6103,7
100192,184,1,6103,8
100193,825,101,6103,8
100194,1578,96,6103,8
100195,98,1,6103,8
100196,1275,74,6103,8
100197,119,1,6103,8
100198,767,76,6103,8
100199,1520,154,6103,9
100200,111,1,6103,9
100201,1948,154,6103,9
100202,646,63,6103,9
100203,1462,60,6103,9
100204,1538,142,6103,9
100205,1279,55,6103,9
100206,613,46,6103,9
100207,1465,68,6103,9
100208,635,59,6103,9
100209,3057,106,6103,10
100210,1139,86,6103,10
100211,102,1,6103,10
100212,158,1,6103,10
100213,1328,231,6103,11
100214,135,1,6103,11
100215,1835,180,6103,11
100216,103,1,6103,11
100217,1662,112,6103,11
100218,2201,86,6103,12
100219,677,59,6103,12
100220,638,42,6103,12
100221,137,1,6103,12
100222,1328,158,6103,12
100223,1364,57,6103,12
100224,136,1,6103,12
100225,2360,83,6103,12
100226,1563,101,6103,13
100227,1742,127,6103,13
100228,749,59,6103,13
100229,1396,70,6103,13
100230,1339,48,6103,13
100231,1230,49,6103,14
100232,1697,80,6103,14
100233,1355,62,6103,14
100234,2133,191,6103,14
100235,1159,158,6103,14
100236,7301,82,6103,14
100237,1817,164,6103,14
100238,172,1,6103,14
100239,1645,106,6103,15
100240,129,1,6103,15
100241,145,1,6103,15
100242,1351,51,6103,15
100243,129,1,6103,16
100244,152,1,6103,16
100245,122,1,6103,16
100246,1305,61,6103,16
100247,2163,197,6103,16
100248,113,1,6103,16
100249,1010,171,6103,17
100250,1012,120,6103,17
100251,1337,69,6103,17
100252,1026,180,6103,17
100253,1765,88,6103,17
100254,1225,3,6103,17
100255,1290,54,6103,17
100256,1337,62,6103,17
100257,141,1,6103,17
100258,1648,84,6103,18
100259,124,1,6103,18
100260,664,61,6103,18
100261,1589,86,6103,18
100262,148,1,6103,18
100263,109,1,6103,19
100264,96,1,6103,19
100265,817,74,6103,19
100266,1299,37,6103,19
100267,1386,3,6103,20
100268,128,1,6103,20
100269,136,1,6103,20
100270,534,40,6103,20
100271,164,1,6103,20
100272,589,42,6103,20
100273,114,1,6103,20
100274,1749,140,6103,20
100275,1631,152,6103,21
100276,1349,80,6103,21
100277,1936,49,6103,21
100278,1408,3,6103,21
100279,695,80,6103,21
100280,526,24,6103,21
100281,644,45,6103,21
100282,1636,81,6103,22
100283,670,54,6103,22
100284,1457,128,6103,22
100285,153,1,6103,22
100286,1814,103,6103,22
100287,1486,76,6103,22
100288,1651,78,6103,22
100289,1439,127,6103,22
100290,120,1,6103,23
100291,851,60,6103,23
100292,1259,59,6103,23
100293,1500,65,6103,23
100294,117,1,6103,24
100295,143,1,6103,24
100296,1614,146,6103,24
100297,98,1,6103,24
100298,567,30,6103,24
100299,1035,127,6103,24
100300,117,1,6103,24
100301,1462,53,6103,25
100302,1460,164,6103,25
100303,1556,72,6103,25
100304,1687,90,6103,25
100305,162,1,6103,25
100306,2787,94,6103,26
100307,2073,181,6103,26
100308,1084,132,6103,26
100309,518,22,6103,26
100310,130,1,6103,26
100311,558,23,6103,26
100312,1716,200,6103,26
100313,118,1,6103,26
100314,506,32,6103,27
100315,102,1,6103,27
100316,104,1,6103,27
100317,554,23,6103,27
100318,122,1,6103,28
100319,556,25,6103,28
100320,124,1,6103,28
100321,681,63,6103,28
100322,110,1,6103,28
100323,634,31,6103,28
100324,153,1,6103,28
100325,131,1,6103,28
100326,1406,166,6103,29
100327,1846,76,6103,29
100328,699,67,6103,29
100329,660,51,6103,29
100330,2092,217,6103,29
100331,546,42,6103,29
100332,1245,46,6103,29
100333,1544,100,6103,30
100334,1283,104,6103,30
100335,166,1,6103,30
100336,2038,231,6103,30
100337,965,100,6103,30
100338,132,1,6103,31
100339,1323,26,6103,31
100340,541,23,6103,31
100341,127,1,6103,32
100342,120,1,6103,32
100343,2283,198,6103,32
100344,139,1,6103,32
100345,188,1,6103,32
100346,1527,81,6103,32
100347,1198,141,6103,32
100348,469,24,6103,33
100349,1603,74,6103,33
100350,1357,65,6103,33
100351,1281,134,6103,33
100352,834,81,6103,33
100353,1262,52,6103,33
100354,1396,3,6103,33
100355,553,24,6103,33
100356,1267,112,6103,34
100357,116,1,6103,34
100358,1399,3,6103,34
100359,557,22,6103,34
100360,1334,169,6103,34
100361,1404,82,6103,34
100362,166,1,6103,35
100363,1421,164,6103,35
100364,1475,57,6103,35
100365,1144,145,6103,36
100366,147,1,6103,36
100367,1597,87,6103,36
100368,137,1,6103,36
100369,120,1,6103,36
100370,3419,103,6103,36
100371,1463,46,6103,37
100372,1650,3,6103,37
100373,1680,198,6103,37
100374,1310,37,6103,37
100375,162,1,6103,37
100376,1196,3,6103,37
100377,2043,189,6103,37
100378,1256,42,6103,37
100379,626,47,6103,37
100380,2091,223,6103,37
100381,1608,38,6103,37
100382,1362,129,6103,38
100383,84,1,6103,38
100384,1419,54,6103,38
100385,2043,239,6103,39
100386,100,1,6103,39
100387,1361,88,6103,39
100388,680,63,6103,40
100389,1850,144,6103,40
100390,123,1,6103,40
100391,1412,3,6103,40
100392,110,1,6103,40
100393,1737,100,6103,40
100394,1365,61,6103,41
100395,1458,3,6103,41
100396,2156,341,6103,41
100397,1415,28,6103,41
100398,2263,215,6103,41
100399,1447,62,6103,41
100400,1904,76,6103,41
100401,874,57,6103,41
100402,757,85,6103,41
100403,85,1,6103,42
100404,1573,148,6103,42
100405,1464,64,6103,42
100406,1439,3,6103,42
100407,129,1,6103,43
100408,905,91,6103,43
100409,1850,200,6103,43
100410,1235,29,6103,43
100411,1346,117,6103,43
100412,2036,88,6103,43
100413,3051,82,6103,44
100414,123,1,6103,44
100415,1216,129,6103,44
100416,2259,192,6103,44
100417,1278,54,6103,44
100418,122,1,6103,44
100419,1401,52,6103,44
100420,2298,92,6103,44
100421,1635,70,6103,45
100422,1333,47,6103,45
100423,3165,81,6103,45
100424,1478,69,6103,45
100425,1232,62,6103,45
100426,686,43,6103,46
100427,842,103,6103,46
100428,83,1,6103,46
100429,1429,3,6103,46
100430,2046,70,6103,46
100431,1448,81,6103,46
100432,1373,87,6103,46
100433,1366,93,6103,47
100434,121,1,6103,47
100435,1440,46,6103,47
100436,141,1,6103,47
100437,1219,184,6103,47
100438,1349,82,6103,47
100439,549,23,6103,47
100440,1496,81,6103,47
100441,103,1,6103,48
100442,1005,98,6103,48
100443,1400,85,6103,48
100444,1334,56,6103,48
100445,114,1,6103,48
100446,1277,3,6103,49
100447,1354,66,6103,49
100448,1237,51,6103,49
100449,1349,40,6103,49
100450,1078,130,6103,50
100451,525,23,6103,50
100452,119,1,6103,50
100453,1580,152,6103,50
100454,519,24,6103,50
100455,1384,53,6103,51
100456,1227,39,6103,51
100457,94,1,6103,51
100458,1702,170,6103,51
100459,112,1,6103,51
100460,1373,79,6103,51
100461,104,1,6103,52
100462,1276,96,6103,52
100463,2033,262,6103,52
100464,1318,55,6103,52
100465,1360,58,6103,52
100466,107,1,6103,52
100467,1543,78,6103,52
100468,1724,77,6103,53
100469,111,1,6103,53
100470,1323,84,6103,53
100471,1066,133,6103,53
100472,2080,138,6103,54
100473,1072,118,6103,54
100474,2753,68,6103,54
100475,1302,108,6103,54
100476,147,1,6103,54
100477,1281,80,6103,54
100478,1246,34,6103,54
100479,484,22,6103,54
100480,1933,144,6103,55
100481,150,1,6103,55
100482,88,1,6103,55
100483,2871,85,6103,55
100484,2753,66,6103,55
100485,578,22,6103,55
100486,635,50,6103,56
100487,121,1,6103,56
100488,1684,128,6103,56
100489,2142,248,6103,56
100490,513,23,6103,56
100491,619,65,6103,56
100492,1351,62,6103,56
100493,138,1,6103,56
100494,107,1,6103,56
100495,837,99,6103,56
100496,1600,73,6103,57
100497,1476,3,6103,57
100498,1032,89,6103,57
100499,7612,67,6103,57
100500,1366,89,6103,58
100501,196,1,6103,58
100502,120,1,6103,58
100503,1443,74,6103,58
100504,2570,98,6103,59
100505,1444,69,6103,59
100506,573,42,6103,59
100507,2038,234,6103,59
100508,133,1,6103,59
100509,1401,3,6103,59
100510,124,1,6103,59
100511,2108,177,6103,59
100512,617,39,6103,59
100513,722,64,6103,59
100514,1530,80,6103,60
100515,190,1,6103,60
100516,2332,93,6103,60
100517,1487,73,6103,60
100518,160,1,6103,60
100519,128,1,6103,60
100520,126,1,6103,61
100521,3844,93,6103,61
100522,1227,3,6103,61
100523,1341,39,6103,61
100524,1747,119,6103,61
100525,2049,228,6103,61
100526,1509,148,6103,62
100527,148,1,6103,62
100528,1247,139,6103,62
100529,1559,3,6103,62
100530,765,82,6103,62
100531,1382,68,6103,62
100532,1372,47,6103,62
100533,927,63,6103,63
100534,487,23,6103,63
100535,728,110,6103,63
100536,133,1,6103,63
100537,98,1,6103,63
100538,651,61,6103,63
100539,152,1,6103,63
100540,904,95,6103,64
100541,145,1,6103,64
100542,1344,91,6103,64
100543,153,1,6103,64
100544,139,1,6103,64
100545,920,100,6103,65
100546,1430,55,6103,65
100547,1369,47,6103,65
100548,1646,71,6103,65
100549,1261,63,6103,66
100550,525,22,6103,66
100551,136,1,6103,66
100552,1272,125,6103,66
100553,1608,424,6103,66
100554,1456,68,6103,66
100555,3214,56,6103,67
100556,1505,105,6103,67
100557,152,1,6103,67
100558,1431,80,6103,67
100559,1399,80,6103,67
100560,161,1,6103,67
100561,708,52,6103,67
100562,1704,90,6103,67
100563,1880,81,6103,67
100564,682,65,6103,67
100565,83,1,6103,68
100566,1407,29,6103,68
100567,736,60,6103,68
100568,1428,44,6103,68
100569,112,1,6103,68
100570,1350,69,6103,69
100571,647,45,6103,69
100572,684,61,6103,69
100573,1234,3,6103,70
100574,664,40,6103,70
100575,87,1,6103,70
100576,115,1,6103,70
100577,558,25,6103,70
100578,1431,73,6103,71
100579,1420,32,6103,71
100580,2294,76,6103,71
100581,876,94,6103,71
100582,515,23,6103,71
100583,119,1,6103,71
100584,1541,149,6103,71
100585,573,63,6103,71
100586,502,24,6103,71
100587,1259,81,6103,71
100588,2057,118,6103,72
100589,120,1,6103,72
100590,1351,32,6103,72
100591,1448,80,6103,72
100592,135,1,6103,72
100593,541,23,6103,73
100594,135,1,6103,73
100595,1609,89,6103,73
100596,484,23,6103,73
100597,492,22,6103,73
100598,973,69,6103,74
100599,1317,180,6103,74
100600,511,24,6103,74
100601,1512,79,6103,74
100602,126,1,6103,74
100603,1438,66,6103,74
100604,1599,77,6103,75
100605,1252,29,6103,75
100606,470,22,6103,75
100607,2040,177,6103,75
100608,1457,70,6103,75
100609,823,77,6103,75
100610,1880,106,6103,75
100611,1229,54,6103,75
100612,114,1,6103,76
100613,1375,78,6103,76
100614,105,1,6103,76
100615,1505,78,6103,76
100616,1254,56,6103,77
100617,1580,86,6103,77
100618,603,50,6103,77
100619,1517,65,6103,77
100620,1211,3,6103,78
100621,4329,62,6103,78
100622,952,96,6103,78
100623,113,1,6103,78
100624,1238,3,6103,78
100625,1337,109,6103,78
100626,1290,122,6103,79
100627,521,24,6103,79
100628,1263,51,6103,79
100629,141,1,6103,79
100630,2199,131,6103,79
100631,1522,104,6103,79
100632,792,82,6103,79
100633,1880,85,6103,79
100634,868,62,6103,79
100635,86,1,6103,80
100636,1427,60,6103,80
100637,1674,116,6103,80
100638,129,1,6103,80
100639,120,1,6103,81
100640,121,1,6103,81
100641,140,1,6103,81
100642,1574,113,6103,81
100643,640,49,6103,81
100644,957,107,6103,81
100645,1719,81,6103,82
100646,1398,93,6103,82
100647,1439,60,6103,82
100648,1425,22,6103,82
100649,138,1,6103,82
100650,1466,76,6103,82
100651,190,1,6103,82
100652,119,1,6103,82
100653,533,23,6103,82
100654,1575,91,6103,82
100655,1480,68,6103,83
100656,1478,63,6103,83
100657,553,41,6103,83
100658,1248,82,6103,83
100659,1393,66,6103,83
100660,915,103,6103,83
100661,1459,66,6103,84
100662,150,1,6103,84
100663,1695,106,6103,84
100664,1406,87,6103,84
100665,121,1,6103,84
100666,93,1,6103,85
100667,1435,126,6103,85
100668,1420,3,6103,85
100669,1248,3,6103,85
100670,1623,94,6103,85
100671,1289,30,6103,85
100672,486,23,6103,85
100673,484,22,6103,85
100674,1780,95,6103,86
100675,643,62,6103,86
100676,108,1,6103,86
100677,1717,80,6103,86
100678,1242,51,6103,86
100679,1342,92,6103,87
100680,1428,28,6103,87
100681,130,1,6103,87
100682,1260,71,6103,87
100683,692,38,6103,87
100684,1623,108,6103,87
100685,2134,116,6103,87
100686,530,22,6103,87
100687,912,99,6103,87
100688,186,1,6103,88
100689,1485,33,6103,88
100690,1113,108,6103,88
100691,1315,56,6103,88
100692,1393,77,6103,88
100693,136,1,6103,88
100694,128,1,6103,89
100695,1404,3,6103,89
100696,914,94,6103,89
100697,699,65,6103,89
100698,571,46,6103,89
100699,1211,34,6103,89
100700,2169,104,6103,90
100701,1555,91,6103,90
100702,756,92,6103,90
100703,877,89,6103,90
100704,546,22,6103,90
100705,112,1,6103,90
100706,3204,78,6103,90
100707,1376,38,6103,90
100708,1758,78,6103,90
100709,175,1,6103,90
100710,115,1,6103,90
100711,694,65,6103,91
100712,1746,74,6103,91
100713,643,62,6103,91
100714,2857,83,6103,91
100715,577,44,6103,91
100716,1536,88,6103,91
100717,694,50,6103,91
100718,964,123,6103,91
100719,135,1,6103,92
100720,1413,58,6103,92
100721,120,1,6103,92
100722,1486,94,6103,92
100723,115,1,6103,93
100724,1409,17,6103,93
100725,618,32,6103,93
100726,137,1,6103,93
100727,1577,82,6103,94
100728,2155,197,6103,94
100729,1148,106,6103,94
100730,1273,49,6103,94
100731,121,1,6103,94
100732,1141,119,6103,94
100733,133,1,6103,94
100734,1374,60,6103,94
100735,733,85,6103,94
100736,1419,89,6103,94
100737,107,1,6103,94
100738,1291,110,6103,95
100739,1219,33,6103,95
100740,141,1,6103,95
100741,547,41,6103,95
100742,1149,112,6103,95
100743,1368,61,6103,96
100744,184,1,6103,96
100745,1622,87,6103,96
100746,1472,82,6103,96
100747,133,1,6103,96
100748,147,1,6103,97
100749,163,1,6103,97
100750,945,107,6103,97
100751,1444,53,6103,97
100752,1339,78,6103,97
100753,1815,59,6103,98
100754,793,60,6103,98
100755,109,1,6103,98
100756,135,1,6103,98
100757,1331,70,6103,98
100758,852,119,6103,98
100759,1357,57,6103,98
100760,116,1,6103,98
100761,1545,100,6103,98
100762,1760,96,6103,99
100763,542,23,6103,99
100764,471,22,6103,99
100765,546,61,6103,99
100766,1174,116,6103,99
100767,111,1,6103,100
100768,1356,53,6103,100
100769,2125,198,6103,100
100770,110,1,6103,100
100771,1345,79,6103,100
100772,141,1,6103,101
100773,513,22,6103,101
100774,1124,109,6103,101
100775,553,22,6103,101
100776,1387,52,6103,101
100777,909,99,6103,102
100778,80,1,6103,102
100779,661,68,6103,102
100780,1684,82,6103,102
100781,1648,55,6103,102
100782,152,1,6103,102
100783,2356,268,6103,103
100784,492,22,6103,103
100785,136,1,6103,103
100786,630,42,6103,103
100787,751,109,6103,104
100788,152,1,6103,104
100789,1273,81,6103,104
100790,2087,283,6103,104
100791,1889,302,6103,104
100792,1428,77,6103,104
100793,2133,243,6103,104
100794,1808,226,6103,104
100795,2846,115,6103,105
100796,96,1,6103,105
100797,1240,3,6103,105
100798,703,101,6103,105
100799,480,22,6103,105
100800,796,90,6103,105
100801,1499,112,6103,106
100802,1503,167,6103,106
100803,108,1,6103,106
100804,1263,135,6103,106
100805,114,1,6103,106
100806,1336,37,6103,106
100807,1409,73,6103,106
100808,1293,149,6103,106
100809,2345,259,6103,106
100810,1219,3,6103,107
100811,1260,3,6103,107
100812,1373,75,6103,107
100813,155,1,6103,107
100814,896,82,6103,107
100815,150,1,6103,107
100816,1707,191,6103,107
100817,1255,121,6103,107
100818,110,1,6103,108
100819,1273,72,6103,108
100820,1483,81,6103,108
100821,91,1,6103,109
100822,1039,114,6103,109
100823,478,22,6103,109
100824,1826,214,6103,109
100825,535,40,6103,109
100826,857,96,6103,109
100827,898,88,6103,110
100828,1791,97,6103,110
100829,150,1,6103,110
100830,2072,156,6103,110
100831,2020,279,6103,110
100832,1349,34,6103,110
100833,1420,62,6103,110
100834,1599,81,6103,111
100835,1482,125,6103,111
100836,2317,288,6103,111
100837,116,1,6103,111
100838,568,32,6103,111
100839,506,22,6103,111
100840,1010,92,6103,111
100841,108,1,6103,112
100842,689,58,6103,112
100843,1273,81,6103,112
100844,1650,155,6103,112
100845,128,1,6103,112
100846,1466,75,6103,112
100847,1422,90,6103,112
100848,113,1,6103,113
100849,578,31,6103,113
100850,1250,23,6103,113
100851,1233,58,6103,113
100852,1219,80,6103,113
100853,1618,124,6103,114
100854,976,143,6103,114
100855,135,1,6103,114
100856,123,1,6103,114
100857,1284,49,6103,114
100858,1925,93,6103,115
100859,2034,225,6103,115
100860,1744,200,6103,115
100861,2203,100,6103,115
100862,147,1,6103,115
100863,1392,72,6103,115
100864,1289,50,6103,115
100865,1332,54,6103,115
100866,571,43,6103,115
100867,1299,99,6103,115
100868,151,1,6103,116
100869,144,1,6103,116
100870,683,62,6103,116
100871,1500,68,6103,116
100872,1893,246,6103,117
100873,119,1,6103,117
100874,1311,62,6103,117
100875,2053,140,6103,117
100876,1431,54,6103,117
100877,145,1,6103,118
100878,1259,191,6103,118
100879,159,1,6103,118
100880,1130,128,6103,118
100881,1371,212,6103,118
100882,1392,61,6103,118
100883,131,1,6103,118
100884,1216,157,6103,118
100885,1363,72,6103,119
100886,128,1,6103,119
100887,1303,63,6103,119
100888,1401,60,6103,119
100889,2311,301,6103,119
100890,1243,45,6103,119
100891,786,109,6103,120
100892,150,1,6103,120
100893,121,1,6103,120
